,nn2,nn16,r_psp_MMGBSA_dG_Bind,r_psp_MMGBSA_dG_Bind_Packing,r_psp_MMGBSA_dG_Bind(NS),r_psp_MMGBSA_dG_Bind(NS)_Packing,r_psp_Prime_Ligand_efficiency_ln,lig_C,lig_HD,as_flex_all,AlogP,predicted_score
0,1.827,3.807,-34.118951696888,-1.4882696132577602,-34.118951696888,-1.4882696132577602,-10.0412016727016,4.0,0.0,34.0,1.8584,5.106674183780958
1,3.782,2.312,-37.6441512336751,-2.21786616254735,-37.6441512336351,-2.21786616254737,-9.20160366528907,10.0,1.0,25.0,0.8557,0.2883315146619969
2,1.774,0.426,-26.813369889321603,0.0,-26.813369889361606,0.0,-9.604469935490448,4.0,0.0,26.0,-0.9129999999999999,0.0
3,0.935,4.975,-28.176274363526296,-1.55055334509969,-28.176274363526296,-1.55055334509969,-7.468684353909138,2.0,0.0,26.0,3.7385,2.9624410575339866
4,0.564,-0.032,-35.719686392552795,-1.5280802441678405,-35.71968639256371,-1.5280802441678,-10.5122976209727,4.0,0.0,35.0,2.2491,0.7311096543765851
5,2.275,2.865,-24.4938759281576,-1.33446071842978,-24.49387592819769,-1.3344607184298,-6.60559447681612,7.0,0.0,31.0,3.3147,0.24133150902498465
6,0.885,-0.564,-36.2368083865658,-2.09316039925412,-36.23680838652579,-2.09316039925416,-10.6644865357262,4.0,0.0,40.0,2.2491,0.1816436855116645
7,-1.4680000000000002,3.554,-30.960783820020904,-1.32215791405686,-30.9607838200318,-1.3221579140568702,-8.68477521432923,3.0,0.0,44.0,2.0069999999999997,8.681343800045003
8,3.103,3.2689999999999997,-26.404403284755997,-1.3087162505517698,-26.404403284763198,-1.3087162505517698,-7.1208322036490594,7.0,0.0,31.0,3.3147,0.3853624040431489
9,1.442,-1.4040000000000001,-24.178525634510198,0.0,-24.178525634510198,0.0,-8.20748916672277,5.0,1.0,35.0,-0.4138,0.6917316891318769
10,-1.31,4.067,-26.7294571675302,-1.8078436250663001,-26.729457167555694,-1.8078436250663101,-7.208493876265459,2.0,0.0,31.0,2.9901,6.048302632925633
11,1.544,1.4409999999999998,-28.32956794000349,-0.7731991619395301,-28.329567939978,-0.7731991619395729,-8.57799788417277,3.0,0.0,26.0,1.3163,0.0
12,1.814,4.048,-35.383451160953,-2.104069927003,-35.3834511609894,-2.104069927003009,-9.542333367125213,2.0,0.0,36.0,2.9901,4.0844794422554775
13,3.7310000000000003,4.102,-28.736290506934896,-1.41940791607652,-28.736290506934896,-1.41940791607652,-7.74970373874472,7.0,0.0,37.0,3.3147,0.3543577852927848
14,-0.652,3.09,-25.7366038122018,-1.40499810145472,-25.736603812227298,-1.40499810145474,-7.385163046983608,5.0,0.0,43.0,2.3446,3.8085179616132456
15,-0.091,3.675,-24.0253772508258,-1.4021290564771598,-24.0253772508004,-1.4021290564771598,-6.8941236208686885,5.0,0.0,43.0,2.3446,3.9130975258365615
16,-0.406,1.41,-27.238161394790893,-1.38645272869493,-27.238161394747294,-1.3864527286948891,-8.016186258842131,4.0,0.0,33.0,2.1122,0.0
17,-0.121,2.841,-38.136077862262006,-1.5329352118656598,-38.13607786224379,-1.53293521186571,-10.9432136050422,5.0,0.0,36.0,2.3446,1.5864813473162716
18,-0.4,3.3169999999999997,-26.995844298093296,-1.8486516071530301,-26.9958442981006,-1.8486516071530301,-7.4183619143333,1.0,0.0,30.0,2.5039,1.0267465661984423
19,-0.7040000000000001,2.224,-35.212366587868,-1.2587565470766202,-35.212366587908,-1.2587565470766202,-10.3629934888689,4.0,0.0,32.0,1.9075,0.3393093665391915
20,2.9760000000000004,-0.853,-21.70787436472889,4.2632564145606005e-14,-21.707874364703493,0.0,-7.368817535623117,5.0,1.0,33.0,-0.4138,0.5526948392993662
21,0.263,-1.8330000000000002,-10.3481127010928,0.0,-10.3481127011,0.0,-3.51270479325758,4.0,0.0,25.0,-0.9683,1.1389776359814257
22,5.229,3.761,-29.189800660700694,-1.61132879513424,-29.1898006606752,-1.61132879513428,-7.87200794962919,1.0,2.0,33.0,1.7573,4.40927245795856
23,7.381,6.417999999999998,-21.0570565049129,-1.2981263348784202,-21.0570565048874,-1.2981263348784202,-6.04235884085845,2.0,0.0,26.0,1.9278,0.7546213936562239
24,2.945,-1.6030000000000002,7.784584445009389,0.0,7.78458444503485,0.0,2.5279208387774403,6.0,1.0,45.0,0.1662,1.3568614302290585
25,4.864,3.822,-25.275051684056997,-1.9814354238993002,-25.27505168406789,-1.98143542389926,-6.8162646979655275,2.0,0.0,28.0,2.9901,0.4953151762851658
26,-1.0170000000000001,7.188,-39.648327301525605,-1.49346933367346,-39.648327301525605,-1.49346933367346,-11.3771562012823,3.0,0.0,36.0,2.3124,7.076806968967597
27,1.33,-1.515,-26.130039893523602,-1.5213550479464901,-26.13003989348,-1.52135504794644,-7.6900662897723695,4.0,0.0,44.0,2.2491,0.0
28,0.098,3.595,-23.0335173993954,-1.6416571005263,-23.033517399435397,-1.6416571005263203,-6.211759860356982,2.0,0.0,22.0,2.9901,0.0
29,-0.18,0.451,-23.865249320169802,-0.9448940420662238,-23.8652493202098,-0.944894042066238,-7.0235388098101605,4.0,0.0,32.0,2.2491,0.4189301504794162
30,5.131,4.662,-31.9939851294694,-2.2200321434436203,-31.993985129513,-2.2200321434436296,-8.62825026477776,1.0,2.0,34.0,1.7573,2.0212140428778143
31,3.9330000000000003,3.194,-32.591759681883595,-1.40013857303317,-32.59175968189449,-1.40013857303319,-8.789460205311059,7.0,0.0,34.0,3.3147,0.0
32,3.4,5.886,-31.028212761622896,-1.4624747094631096,-31.028212761659198,-1.46247470946312,-8.903599401582367,3.0,0.0,39.0,2.3124,3.2325967176611763
33,2.104,-0.146,-24.6720112072144,-4.2632564145606005e-14,-24.672011207174396,0.0,-8.83744157731339,4.0,0.0,27.0,-0.9129999999999999,0.4854775309797533
34,-1.185,4.593,-34.675678866075,-2.258910010101049,-34.6756788661114,-2.25891001010106,-9.35145884911908,2.0,0.0,38.0,2.9901,0.3866901482606109
35,3.688,6.181,-27.676241899840488,-2.2600478003336,-27.6762419017032,-2.2600478003335804,-7.463826107751678,1.0,0.0,44.0,3.1683,2.5629510653373244
36,-1.5230000000000001,4.043,-32.6263640569123,-2.1090076815978898,-32.626364056945,-2.10900768159784,-8.79879243469092,2.0,0.0,34.0,2.9901,0.2313444482464605
37,-0.079,0.086,-21.114671597533697,-1.31623786020398,-21.1146715975774,-1.31623786020401,-6.393377007098298,3.0,0.0,29.0,1.7929,1.3939175740364147
38,-0.248,-0.565,-9.41953737195581,-0.684196351528612,-9.41953737381846,-0.684196351528598,-2.77216824407842,4.0,0.0,22.0,2.1122,0.0
39,0.251,-1.0,-17.1031821018696,-4.2632564145606005e-14,-17.103182101826,0.0,-5.8057378658864405,4.0,1.0,18.0,-1.6156,2.053786860257963
40,-0.005,0.436,-18.9229667178552,-1.6486672451467401,-18.9229667178552,-1.6486672451467699,-5.7297438779087,3.0,0.0,32.0,1.7929,0.7483365975175357
41,-1.838,4.244,-39.1267449236584,-1.5071265135733796,-39.1267449236584,-1.5071265135733796,-10.9753999286876,5.0,0.0,40.0,3.063,6.383728534909277
42,0.254,-1.044,-15.8040300210596,1.4210854715202e-14,-15.804030021099601,0.0,-5.364735929277269,5.0,1.0,22.0,-0.4138,0.8470878284356274
43,8.338,5.8889999999999985,-32.9052601186086,-2.17353898266244,-32.9052601186413,-2.173538982662389,-8.45812744034598,2.0,0.0,39.0,3.4462,0.0
44,-0.445,1.2409999999999999,-27.4498681311488,-1.3369524923183698,-27.4498681311597,-1.33695249231839,-8.07849151529094,4.0,0.0,31.0,2.1122,0.10462724271311984
45,-0.502,-0.5539999999999999,-19.616433311435696,-1.99431141509335,-19.6164333114721,-1.9943114150933603,-6.370126870710112,6.0,0.0,32.0,0.3302,1.4266725081085567
